,opentime,open,high,low,close,volume,closetime,quote_asset_volume,num_of_trades,taker_by_base,taker_buy_quote,ignore,id
159,1610020800000,1201.32,1229.5,1197.64,1227.2,93318.37659999999,1610024399999,113110658.40220968,67234,49250.94247,59739672.531257495,0,
160,1610024400000,1226.86,1230.45,1209.0,1218.01,84541.63376,1610027999999,103265173.95025708,63305,41130.97201,50256633.1354602,0,
161,1610028000000,1218.01,1229.29,1215.0,1224.5,61759.110980000005,1610031599999,75520023.92489389,43091,30245.1168,36988485.855352,0,
162,1610031600000,1224.53,1249.98,1216.0,1249.83,81232.00344,1610035199999,100334324.8227427,61208,45890.98545,56707077.4669566,0,
163,1610035200000,1249.84,1277.41,1238.68,1263.97,150037.31158,1610038799999,189429718.5162389,93721,78858.53421999999,99573715.7983402,0,
164,1610038800000,1263.97,1273.91,1259.0,1270.49,64620.34682999999,1610042399999,81868620.207566,42890,32930.65371,41731456.886612006,0,
165,1610042400000,1270.48,1289.0,1131.0,1222.73,256239.4916,1610045999999,314931094.5802767,166946,112066.02113,138103045.504617,0,
166,1610046000000,1223.25,1247.68,1170.0,1234.14,176324.91055000003,1610049599999,213508997.97753832,112983,84563.46037000002,102411326.99507001,0,
167,1610049600000,1234.23,1245.0,1223.41,1242.72,65467.093389999995,1610053199999,80830321.23951618,47534,34508.8669,42622024.43571379,0,
168,1610053200000,1242.9,1267.33,1239.58,1254.18,71614.46576,1610056799999,89797360.82586022,51027,36533.76967,45794847.775155894,0,
169,1610056800000,1254.25,1259.0,1237.25,1245.47,30674.97767,1610060399999,38386892.0764667,32522,14865.12981,18599984.532088,0,
170,1610060400000,1245.4,1245.72,1201.45,1224.87,97496.82518,1610063999999,118810331.9534623,66809,47115.01641,57412137.90003219,0,
171,1610064000000,1224.86,1233.0,1182.45,1182.96,72653.68291999999,1610067599999,88124665.53703581,64807,32436.237889999997,39380258.810070604,0,
172,1610067600000,1183.42,1199.26,1160.0,1184.52,95990.82587,1610071199999,113279104.60357718,91653,46243.69571999999,54596802.95903359,0,
173,1610071200000,1184.52,1186.29,1065.0,1111.34,199688.17322000003,1610074799999,222441857.6795421,143813,84272.54063000002,93944665.82167909,0,
174,1610074800000,1111.57,1160.13,1105.61,1150.1,88803.50222000001,1610078399999,101365259.9665088,78640,43647.78191000001,49817563.44801379,0,
175,1610078400000,1150.1,1177.65,1142.0,1169.03,78047.83239000003,1610081999999,90851598.4442795,63262,39173.58432,45617562.822933294,0,
176,1610082000000,1168.91,1174.0,1142.23,1148.12,68772.26477,1610085599999,79666747.7708721,58472,33206.44229,38473560.8129392,0,
177,1610085600000,1148.29,1182.46,1125.41,1175.21,91125.70393999999,1610089199999,105411233.2175017,72137,48663.7601,56322157.36627539,0,
178,1610089200000,1175.22,1214.27,1166.38,1208.42,79414.38316000003,1610092799999,94621691.73066421,56815,39177.335439999995,46718875.3406326,0,
179,1610092800000,1208.2,1209.27,1181.73,1199.99,56094.95252,1610096399999,67043689.310569905,46146,26133.8824,31241989.5526289,0,
180,1610096400000,1199.99,1222.32,1185.99,1221.64,62345.38190999999,1610099999999,74943929.0192567,47432,35697.61907,42952571.7590047,0,
181,1610100000000,1221.51,1270.24,1216.23,1251.31,134971.11476,1610103599999,167801701.0989688,95831,76856.52507,95610237.2005476,0,
182,1610103600000,1251.47,1266.0,1240.0,1255.43,87416.71084,1610107199999,109542145.7565418,67132,42251.42981,52973833.03861321,0,
183,1610107200000,1255.24,1273.75,1224.88,1249.9,97812.93795000002,1610110799999,122707021.75548992,79100,46626.53345,58533824.5095226,0,
184,1610110800000,1249.91,1255.91,1221.62,1250.0,71962.98668,1610114399999,89202675.10136311,53858,34492.03113,42783125.8184081,0,
185,1610114400000,1250.0,1257.09,1237.32,1257.0,49706.7127,1610117999999,62071302.349348694,41215,25605.528830000003,31990410.585920498,0,
186,1610118000000,1256.93,1264.0,1171.72,1216.77,193110.42518,1610121599999,234901082.26603904,118592,89628.83481,109119188.6924459,0,
187,1610121600000,1216.93,1242.18,1202.0,1227.22,83942.45331000001,1610125199999,102893873.3846685,63484,42398.79005999999,52002315.5768522,0,
188,1610125200000,1227.22,1236.66,1209.24,1215.42,50501.14121999999,1610128799999,61792247.35025299,47655,24204.67858,29619139.7271076,0,
189,1610128800000,1215.59,1222.06,1173.0,1182.87,99711.00929,1610132399999,118959720.3609653,81668,46024.78083,54904108.511581704,0,
190,1610132400000,1182.55,1203.57,1179.63,1184.75,53462.02043,1610135999999,63726005.4926391,59259,26680.2849,31810299.6520241,0,
191,1610136000000,1184.75,1195.5,1143.16,1145.9,140396.82391999997,1610139599999,163528253.3723028,104529,66327.82274,77295234.43101439,0,
192,1610139600000,1146.34,1193.89,1135.51,1193.63,80549.78912999999,1610143199999,94279864.93734159,64165,41947.97614,49121188.68075701,0,
193,1610143200000,1193.63,1220.0,1166.31,1216.58,50087.21190000001,1610146799999,59912325.745168,66842,27817.965610000003,33302546.036708996,0,
194,1610146800000,1216.85,1229.69,1208.38,1216.93,44604.88318,1610150399999,54359456.329227895,52310,23373.043360000003,28487836.265124302,0,
195,1610150400000,1216.72,1234.67,1183.04,1197.93,79854.51548,1610153999999,96646574.7489301,64426,39118.53388,47367392.9082199,0,
196,1610154000000,1197.91,1198.39,1171.36,1198.27,64568.88615,1610157599999,76606854.3145265,57207,31353.09092,37209624.8825202,0,
197,1610157600000,1198.26,1208.0,1177.38,1199.84,52664.98659,1610161199999,62971828.7795576,47979,25370.858689999994,30345036.026201002,0,
198,1610161200000,1199.66,1231.31,1192.11,1226.53,58922.414950000006,1610164799999,71769159.63660531,48301,31926.73903,38895612.50211179,0,
199,1610164800000,1226.53,1227.49,1208.82,1219.16,39138.761170000005,1610168399999,47664588.7042388,36372,18844.919309999997,22952104.852910604,0,
200,1610168400000,1219.16,1219.16,1181.06,1185.53,53982.3727,1610171999999,64715432.9209386,50308,25706.70721,30825177.0488572,0,
